anio,mes,lpei,lpi,desagregacion
2013,Jul,1189.26,2662.21,Urbano
2013,Ago,914.24,1839.95,Rural
2013,Ago,1198.01,2672.78,Urbano
2013,Sep,919.88,1851.24,Rural
2013,Sep,1204.44,2687.44,Urbano
2013,Oct,918.49,1859.42,Rural
2013,Oct,1204.48,2707.24,Urbano
2013,Nov,935.38,1890.58,Rural
2013,Nov,1221.62,2751.55,Urbano
2013,Dic,948.4,1908.97,Rural
2013,Dic,1235.26,2771.82,Urbano
2014,Ene,951.39,1921.89,Rural
2014,Ene,1247.46,2803.68,Urbano
2014,Feb,951.19,1923.48,Rural
2014,Feb,1251.39,2813.8,Urbano
2014,Mar,955.56,1929.69,Rural
2014,Mar,1258.82,2824.52,Urbano
2014,Abr,941.84,1908.3,Rural
2014,Abr,1244.62,2793.93,Urbano
2014,May,938.91,1892.95,Rural
2014,May,1242.12,2765.96,Urbano
2014,Jun,939.06,1894.88,Rural
2014,Jun,1244.85,2771.99,Urbano
2014,Jul,944.88,1901.76,Rural
2014,Jul,1253.48,2782.9,Urbano
2014,Ago,952.67,1913.75,Rural
2014,Ago,1264.16,2798.05,Urbano
2014,Sep,964.89,1930.18,Rural
2014,Sep,1277.27,2814.41,Urbano
2014,Oct,970.49,1946.55,Rural
2014,Oct,1284.2,2836.24,Urbano
2014,Nov,978.65,1969.99,Rural
2014,Nov,1291.9,2868.07,Urbano
2014,Dic,997.22,1989.18,Rural
2014,Dic,1309.36,2878.87,Urbano
2015,Ene,982.68,1975.02,Rural
2015,Ene,1297.3,2867.58,Urbano
2015,Feb,973.48,1969.96,Rural
2015,Feb,1289.21,2869.42,Urbano
2015,Mar,988.35,1989.3,Rural
2015,Mar,1301.9,2890.28,Urbano
2015,Abr,992.21,1984.43,Rural
2015,Abr,1304.97,2877.17,Urbano
2015,May,981.99,1961.62,Rural
2015,May,1296.88,2847.62,Urbano
2015,Jun,982.48,1962.97,Rural
2015,Jun,1299.41,2850.79,Urbano
2015,Jul,987.67,1968.31,Rural
2015,Jul,1306.33,2856.61,Urbano
2015,Ago,990.65,1975.64,Rural
2015,Ago,1311.29,2866.31,Urbano
2015,Sep,997.79,1988.74,Rural
2015,Sep,1319.44,2882.01,Urbano
2015,Oct,1000.52,2002.26,Rural
2015,Oct,1323.44,2901.19,Urbano
2015,Nov,1000.61,2016.4,Rural
2015,Nov,1324.95,2912.58,Urbano
2015,Dic,1017.03,2032.8,Rural
2015,Dic,1341.26,2923.29,Urbano
2016,Ene,1034.91,2050.88,Rural
2016,Ene,1361.27,2942.13,Urbano
2016,Feb,1043.98,2063.49,Rural
