,iso3,country,year,le_f,country_sp,fem_pop,mmr,gpi,femicides_number
298,ATG,Antigua and Barbuda,2017,80.7206,Antigua y Barbuda,47658.0,42.0,,
299,BHS,Bahamas,2017,77.1704,Bahamas,207529.0,70.0,,
300,BLZ,Belize,2017,76.8448,Belice,186106.0,36.0,,
301,BOL,Bolivia (Plurinational State of),2017,70.3472,Bolivia,5686999.0,155.0,1.937,110.0
302,BRA,Brazil,2017,78.0322,Brasil,105937948.0,60.0,2.203,1582.0
303,BRB,Barbados,2017,78.8415,Barbados,145542.0,27.0,,
304,CHL,Chile,2017,82.6012,Chile,9254199.0,13.0,1.56,
305,COL,Colombia,2017,79.5348,Colombia,24477100.0,83.0,2.646,208.0
306,CRI,Costa Rica,2017,81.7602,Costa Rica,2490983.0,27.0,1.698,26.0
307,CUB,Cuba,2017,80.0708,Cuba,5691861.0,36.0,2.011,
308,DMA,Dominica,2017,69.6472,Dominica,35104.0,,,
309,DOM,Dominican Republic,2017,76.3186,República Dominicana,5286818.0,95.0,2.029,119.0
310,ECU,Ecuador,2017,79.3952,Ecuador,8346245.0,59.0,1.844,101.0
311,GRD,Grenada,2017,77.7719,Granada,60239.0,25.0,,
312,GTM,Guatemala,2017,75.5204,Guatemala,8119332.0,95.0,2.13,180.0
313,GUY,Guyana,2017,72.2069,Guyana,389970.0,169.0,1.983,
314,HND,Honduras,2017,75.1876,Honduras,4761059.0,65.0,2.088,235.0
315,HTI,Haiti,2017,66.732,Haití,5471873.0,480.0,1.932,
316,JAM,Jamaica,2017,73.9115,Jamaica,1413838.0,80.0,1.944,
317,KNA,Saint Kitts and Nevis,2017,75.9225,Saint Kitts y Nevis,24515.0,,,
318,LCA,Saint Lucia,2017,76.7579,Santa Lucía,89132.0,117.0,,4.0
319,MEX,Mexico,2017,77.3026,México,62712641.0,33.0,2.388,742.0
320,NIC,Nicaragua,2017,76.3671,Nicaragua,3286867.0,98.0,1.941,
321,PAN,Panama,2017,80.9248,Panamá,2045156.0,52.0,1.81,15.0
322,PER,Peru,2017,78.0997,Perú,15939422.0,88.0,1.947,116.0
323,PRY,Paraguay,2017,76.4588,Paraguay,3161074.0,84.0,2.006,53.0
324,SLV,El Salvador,2017,77.4936,El Salvador,3276963.0,46.0,2.176,271.0
325,SUR,Suriname,2017,75.703,Suriname,294024.0,120.0,,
326,TTO,Trinidad and Tobago,2017,77.6943,Trinidad y Tobago,750563.0,67.0,2.067,21.0
327,URY,Uruguay,2017,81.3157,Uruguay,1767547.0,17.0,1.639,28.0
328,VCT,Saint Vincent and the Grenadines,2017,77.0517,San Vicente y las Granadinas,51523.0,68.0,,
329,VEN,Venezuela (Bolivarian Republic of),2017,76.2277,Venezuela,15379664.0,125.0,2.65,
330,ARG,Argentina,2018,80.3295,Argentina,22467488.0,39.0,1.911,258.0
331,ATG,Antigua and Barbuda,2018,81.0003,Antigua y Barbuda,47910.0,42.0,,
